id;isbn;title;publisher;publication_year
1;1406698143110;Calculo I;Cengage Learning;2013
2;3916881261394;Calculo II;Cengage Learning;2013
3;0454485435039;Calculo III;Cengage Learning;2013
4;1037894226611;Introducao a Teoria da Computacao;Cengage Learning;2007
5;0417984663509;Inteligencia Artificial;Prentice Hall;1994
6;9990768888965;A Origem das Especies;Martin Claret;2014
7;1368187530898;Biologia Moderna;Moderna;1999
8;7700833189301;Imunobiologia;Artmed ;2010
9;0288585769013;O que e a evolucao;Rocco;2005
10;6242258707061;Programacao para Leigos;Alta Books;2006
11;7352996524423;Restauracao Florestal;Oficina de Textos;2012
12;2646186877974;Pericias De Engenharia - A Apuracao Dos Fatos;Leud;2019
13;1782097034157;Algoritmos: Teoria e Pratica;Campus;2012
14;7747397976927;Sistemas Operacionais Modernos;Pearson;2015
15;7877785349264;Encyclopedia of Algorithms;Springer;2008
16;6707779951393;Historia da Psicologia Moderna;Cengage Learning;2019
17;1509238593281;Freud - A Trama dos Conceitos;Perspectiva;2013
18;5468771271408;Clean Code: A Handbook of Agile Software Craftsmanship;Prentice Hall PTR;2008
19;1918285060674;Pedagogia do oprimido;Paz e Terra;2014
20;8297071550041;The Universal History of Computing: From the Abacus to the Quantum Computer;John Wiley & Sons;2002
