id;student_type;number_of_days_loan;number_of_days_renewal;max_books_on_loan;max_renewal_number
1;JSON Representative;88802;15237;12812;96198
2;Tennessee;73394;81691;86092;92231
3;mint green Licensed;22539;60436;97694;11293
4;Yemen;46839;21182;55982;39773
5;intuitive Shoes;75931;12626;10127;10262
6;Future;98299;42710;49006;86584
7;Springs backing up;77140;26412;29951;48791
8;system Small Frozen Soap;44024;21061;40334;53584
9;enterprise;36497;96236;58668;29202
10;communities;63496;74820;66867;28851
